p,tr,tc,tt,rtr,rtc,rtt
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2.000000,1.909091,1.691860,1.102473,0.954545,0.845930,0.551237
4.000000,3.500000,2.745283,2.785714,0.875000,0.686321,0.696429
6.000000,5.250000,3.683544,3.759036,0.875000,0.613924,0.626506
8.000000,7.000000,5.196429,5.288136,0.875000,0.649554,0.661017
10.000000,10.500000,8.558824,8.666667,1.050000,0.855882,0.866667
12.000000,10.500000,7.864865,8.000000,0.875000,0.655405,0.666667
14.000000,10.500000,8.558824,8.666667,0.750000,0.611345,0.619048
16.000000,21.000000,9.700000,10.064516,1.312500,0.606250,0.629032
18.000000,21.000000,9.700000,10.064516,1.166667,0.538889,0.559140
20.000000,21.000000,10.777778,11.142857,1.050000,0.538889,0.557143
22.000000,21.000000,18.187500,18.352941,0.954545,0.826705,0.834225
