p,tr,tc,tt,trs,tcs,tts
1.000000,21.200000,290.800000,312.000000,0.160000,0.160000,0.400000
2.000000,13.500000,170.750000,184.250000,14.250000,1.687500,12.187500
4.000000,5.800000,84.600000,90.400000,0.160000,0.240000,0.240000
6.000000,3.750000,77.000000,80.750000,0.187500,5.500000,4.687500
8.000000,3.000000,37.200000,40.200000,0.000000,236.560000,236.560000
10.000000,3.600000,40.600000,44.200000,7.440000,49.040000,50.960000
12.000000,2.000000,45.600000,47.600000,0.000000,5.040000,5.040000
14.000000,1.666667,30.333333,32.000000,0.222222,9.555556,8.000000
16.000000,1.400000,31.200000,32.600000,0.240000,18.960000,15.040000
18.000000,2.000000,30.000000,32.000000,0.000000,0.000000,0.000000
20.000000,1.400000,17.200000,18.600000,0.240000,11.360000,11.440000
22.000000,1.000000,17.200000,18.200000,0.000000,18.160000,18.160000
